full_address,incident_id,start_time,end_time,min_flood_depth,max_flood_depth,avg_flood_depth,area_sqm,estimated_damage,estimated_damage_adjusted
桃園市龍潭區富林里,12799,2022-05-23 17:00:00,2022-05-23 17:00:00,89.0,89.0,89.0,2192188.090602745,341944513.3741061,15425694366.435781
桃園市龜山區南美里,12929,2022-06-28 11:15:00,2022-06-28 11:15:00,100.0,100.0,100.0,452229.8825110854,75459078.19579972,3404086428.92274
桃園市龜山區大坑里,13098,2022-05-23 17:00:00,2022-05-23 17:00:00,82.0,82.0,82.0,9249682.874462914,1378772528.760041,62198756808.88976
桃園市龜山區大坑里,13102,2022-06-28 11:15:00,2022-06-28 11:15:00,100.0,100.0,100.0,9249682.874462914,1543402084.4328818,69625474039.80199
桃園市龜山區山德里,13158,2022-05-23 17:00:00,2022-05-23 17:00:00,83.0,83.0,83.0,320045.73873770726,48022991.11588847,2166398215.330607
桃園市龜山區山頂里,13231,2022-05-23 17:00:00,2022-05-23 17:00:00,94.0,94.0,94.0,1541845.8950654217,248124942.72437212,11193335121.502747
桃園市龜山區文化里,13410,2022-05-23 17:00:00,2022-05-23 17:00:00,92.0,92.0,92.0,3394300.458020898,539522700.0822387,24338779976.61429
桃園市龜山區文化里,13416,2022-06-28 11:15:00,2022-06-28 11:15:00,97.0,97.0,97.0,3394300.458020898,556304121.5466938,25095818234.05174
桃園市龜山區楓樹里,13689,2022-05-23 17:00:00,2022-05-23 17:00:00,94.0,94.0,94.0,8673673.33160782,1395829962.970318,62968246467.33459
桃園市龜山區樂善里,13745,2020-08-27 14:10:00,2020-08-27 14:20:00,77.0,77.0,77.0,4915645.638925595,708431051.9324234,31958520927.769005
桃園市龜山區樂善里,13781,2022-05-23 17:00:00,2022-05-23 17:00:00,70.0,98.0,84.0,4915645.638925595,742455184.7868108,33493407010.06323
臺中市大里區夏田里,14093,2022-11-08 04:31:03,2022-11-08 06:00:03,254.6,257.7,256.2555555555556,3060252.7622340196,782505284.7920235,35300134645.28541
臺南市仁德區太子里,14729,2022-12-24 18:33:18,2022-12-24 18:33:18,206.9,206.9,206.9,1836479.1355124984,435977428.78154653,19667677953.618343
臺南市仁德區太子里,14728,2022-12-24 12:09:18,2022-12-24 15:45:28,202.3,300.0,275.575,1836479.1355124984,482742800.6588403,21777342841.624912
臺南市仁德區太子里,14727,2022-12-24 09:29:08,2022-12-24 09:39:08,300.0,300.0,300.0,1836479.1355124984,499375406.5285586,22527667776.31091
臺南市仁德區太子里,14725,2022-11-01 18:38:56,2022-11-01 18:38:56,300.0,300.0,300.0,1836479.1355124984,499375406.5285586,22527667776.31091
臺南市仁德區太子里,14730,2022-12-25 14:51:38,2022-12-25 14:51:38,150.1,150.1,150.1,1836479.1355124984,374645049.3069936,16900870756.727795
臺南市仁德區太子里,14723,2022-10-07 22:49:25,2022-10-07 23:04:55,300.0,300.0,300.0,1836479.1355124984,499375406.5285586,22527667776.31091
臺南市仁德區太子里,14704,2021-05-16 03:37:36,2021-05-16 05:19:36,300.0,300.0,300.0,1836479.1355124984,499375406.5285586,22527667776.31091
臺南市仁德區太子里,14703,2021-05-14 21:25:26,2021-05-14 21:57:36,300.0,300.0,300.0,1836479.1355124984,499375406.5285586,22527667776.31091
臺南市仁德區太子里,14702,2021-05-13 04:27:26,2021-05-13 05:29:56,300.0,300.0,300.0,1836479.1355124984,499375406.5285586,22527667776.31091
臺南市仁德區太子里,14724,2022-10-23 08:09:07,2022-10-23 08:09:07,300.0,300.0,300.0,1836479.1355124984,499375406.5285586,22527667776.31091
臺南市仁德區成功里,14760,2019-06-15 11:35:07,2019-06-15 11:35:07,302.0,302.0,302.0,9099387.111555615,2477679396.1151676,111772301082.87495
臺南市仁德區成功里,14761,2019-06-16 10:01:07,2019-06-16 10:53:07,3.5,302.0,103.03333333333336,9099387.111555615,1538792986.7293568,69417549860.00433
臺南市仁德區文賢里,14842,2019-08-13 04:55:17,2019-08-13 21:35:18,5.8,196.1,177.63061224489795,3448487.3854055526,762169916.7661421,34382771857.6771
